"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-01","43","12",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-02","47","17",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-03","50","21",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-04","40","18","18"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-05","46","18","27"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-06","55","27","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-07","35","-4","-3"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-08","25","-3","0"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-09","42","-3",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-10","48","10",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-11","55","15","19"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-12","56","15","18"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-13","65","18","29"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-14","62","24","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-15","58","21","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-16","53","21",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-17","63","24",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-18","57","30",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-19","56","25","28"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-20","45","22","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-21","40","18","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-22","45","21","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-23","58","26",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-24","45","24",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-25","41","30","31"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-26","46","15","16"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-27","44","16","20"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-28","47","20","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-29","32","22","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-30","49","22",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-01-31","55","19",
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-02-01","43","24","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-02-02","50","20","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-02-03","50","21","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-02-04","50","22","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2010-02-05","50","22","23"
